UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 02:35 ?        00:00:00 init -z       
root         2     1  0 02:35 ?        00:00:00 [kthreadd/263779]
root         3     2  0 02:35 ?        00:00:00 [khelper/263779]
systemd+    76     1  0 02:35 ?        00:00:00 /lib/systemd/systemd-networkd
root        80     1  0 02:35 ?        00:00:00 /lib/systemd/systemd-udevd
root        82     1  0 02:35 ?        00:00:00 /lib/systemd/systemd-journald
systemd+   265     1  0 02:35 ?        00:00:00 /lib/systemd/systemd-resolved
root       289     1  0 02:36 ?        00:00:00 /usr/sbin/sshd -D
root       358   289  0 02:40 ?        00:00:00 sshd: francis [priv]
francis    360   358  0 02:40 ?        00:00:00 sshd: francis@pts/0 
francis    361   360  0 02:40 pts/0    00:00:00 -bash
francis    377   361  0 02:41 pts/0    00:00:00 ps -ef
